Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BatteryHolder_Keystone_1060_1x2032","C70377"
"100n","C1","C0603","C14663"
"100n","C2","C0603","C14663"
"100n","C3","C0603","C14663"
"10u","C4","C0603","C19702"
"100n","C5","C0603","C14663"
"LED-GREEN-0805","D1","LED-0805","C2297"
"LED-GREEN-0805","D2","LED-0805","C2297"
"LED-BLUE-0603","D3","LED-0603","C72041"
"LED-BLUE-0603","D4","LED-0603","C72041"
"1N4148WS","D5","SOD-323","C2128"
"LED-RED-0603","D6","LED-0603","C2286"
"LED-RED-0603","D7","LED-0603","C2286"
"LED-RED-0603","D8","LED-0603","C2286"
"LED-RED-0603","D9","LED-0603","C2286"
"LED-GREEN-0805","D10","LED-0805","C2297"
"LED-GREEN-0805","D11","LED-0805","C2297"
"1N4148WS","D12","SOD-323","C2128"
"1N4148WS","D13","SOD-323","C2128"
"1N4148WS","D14","SOD-323","C2128"
"1N4148WS","D15","SOD-323","C2128"
"LED-WHITE-0603","D16","LED-0603","C2290"
"LED-WHITE-0603","D17","LED-0603","C2290"
"LED-WHITE-0603","D18","LED-0603","C2290"
"LED-WHITE-0603","D19","LED-0603","C2290"
"1N4148WS","D20","SOD-323","C2128"
"1N4148WS","D21","SOD-323","C2128"
"1N4148WS","D22","SOD-323","C2128"
"1N4148WS","D23","SOD-323","C2128"
"SRV05-4-P-T7","D24","SOT23-6","C85364"
"1N4148WS","D25","SOD-323","C2128"
"LED-WHITE-0603","D26","LED-0603","C2290"
"LED-WHITE-0603","D27","LED-0603","C2290"
"1N4148WS","D29","SOD-323","C2128"
"1N4148WS","D30","SOD-323","C2128"
"LOGO","G1","LOGO",""
"DISCLAIMER","G2","Off_Road_Disclaimer",""
"LOGO","G3","LOGO",""
"PROTO_AREA","G4","PROTO_AREA",""
"PROTO_AREA","G5","PROTO_AREA",""
"PROTO_AREA","G6","PROTO_AREA",""
"PROTO_AREA","G7","PROTO_AREA",""
"USB_B_Mini","J1","USB-MINI-B-VERTICAL","C13453"
"Conn_01x05_Male","J2","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical",""
"Conn_02x12_Odd_Even","J4","PinHeader_2x12_P2.54mm_Vertical",""
"Conn_01x06","J5","PinHeader_2x03_P2.54mm_Vertical",""
"Conn_01x08","J6","PinHeader_2x04_P2.54mm_Vertical",""
"Conn_01x04","J7","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_01x06","J8","PinHeader_2x03_P2.54mm_Vertical",""
"Conn_01x08","J9","PinHeader_2x04_P2.54mm_Vertical",""
"Conn_01x06","J10","PinHeader_2x03_P2.54mm_Vertical",""
"Conn_01x01","J11","MountingHole_4.5mm_Pad",""
"Conn_01x01","J12","MountingHole_4.5mm_Pad",""
"Conn_01x01","J13","MountingHole_4.5mm_Pad",""
"Conn_01x01","J14","MountingHole_4.5mm_Pad",""
"Conn_01x01","J15","MountingHole_4.5mm_Pad",""
"Conn_01x01","J16","MountingHole_4.5mm_Pad",""
"Conn_01x01","J17","MountingHole_4.5mm_Pad",""
"Conn_01x01","J18","MountingHole_4.5mm_Pad",""
"Conn_01x01","J19","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J20","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J21","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J22","TestPoint_Pad_D2.0mm",""
"USB_B","J23","USB_B_TE_5787834_Vertical","C592900"
"Conn_01x01","J24","TestPoint_Pad_D2.0mm",""
"AudioJack3_SwitchTR","J25","Jack_3.5mm_PJ-3250-5A","C165947"
"AudioJack4","J26","Jack_3.5mm_PJ320D_Horizontal","C95562"
"Module:input/0.1","M1","input",""
"Module:ign8/0.1","M2","ign8",""
"Module:mcu/0.1","M3","mcu",""
"Module:sd/0.1","M4","sd",""
"Module:output/0.1","M5","output",""
"Module:can/0.1","M6","can",""
"Module:stlink/0.1","M7","stlink",""
"Module:can/0.1","M8","can",""
"Module:knock/0.1","M9","knock",""
"Module:power12/0.1","M10","power12",""
"Module:power5/0.2","M11","power5",""
"Module:wbo/0.1","M12","wbo",""
"Pad","P1","PAD-TH",""
"176122-6_2nd","P2","176122-6_2nd",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P26","PAD-TH",""
"Pad","P27","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P46","PAD-TH",""
"Pad","P47","PAD-TH",""
"Pad","P48","PAD-TH",""
"Pad","P49","PAD-TH",""
"Pad","P50","PAD-TH",""
"Pad","P51","PAD-TH",""
"Pad","P52","PAD-TH",""
"Pad","P53","PAD-TH",""
"Pad","P54","PAD-TH",""
"Pad","P55","PAD-TH",""
"Pad","P56","PAD-TH",""
"470","R1","R0603-4","C25510"
"470","R2","R0603-4","C25510"
"4.7k","R3","R0603","C23162"
"1k","R4","R0603","C21190"
"4.7k","R5","R0603-4","C1980"
"4.7k","R6","R0603-4","C1980"
"4.7k","R7","R0603-4","C1980"
"10k","R8","R0603-4","C29718"
"680k","R9","R0603-4","C145776"
"Jumper-Pad-Pad","R10","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R11","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R12","PAD-0805-PAD"," C17477"
"0","R14","R0603","C21189"
"0","R15","R0603","C21189"
"470","R16","R0603-4","C25510"
"Jumper-Pad-Pad","R17","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R18","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R19","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R20","PAD-0805-PAD"," C17477"
"1k","R21","R0603","C21190"
"10k","R22","R0603","C25804"
"10k","R23","R0603","C25804"
"Jumper-Pad-Pad","R24","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R25","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R26","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R27","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R28","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R29","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R30","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R31","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R32","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R33","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R34","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R35","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R36","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R37","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R38","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R39","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R40","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R41","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R42","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R43","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R44","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R45","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R46","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R47","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R48","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R49","PAD-0805-PAD"," C17477"
"Button_SPST","S1","SMD-2_2.9x3.9x1.7","C115357"
"Button_SPST","S2","SMD-2_2.9x3.9x1.7","C115357"
"QMA7981","U1","LGA-12_2x2mm_P0.5mm","C457290"
"MPX4_MAP","U2","MPX-4_MAP",""
"MCP6002-xSN","U3","SOIC-8_3.9x4.9mm_P1.27mm","C7377"
