Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,29.900000mm,17.500000mm,Top,180.0,29.900000mm,17.500000mm
C1,70.239359mm,21.204880mm,Top,0.0,70.239359mm,21.204880mm
C2,126.100700mm,49.707060mm,Top,-90.0,126.100700mm,49.707060mm
C3,62.920959mm,34.800000mm,Top,0.0,62.920959mm,34.800000mm
C4,130.690001mm,90.000000mm,Top,180.0,130.690001mm,90.000000mm
C5,130.000000mm,85.500000mm,Top,-90.0,130.000000mm,85.500000mm
D1,68.279360mm,9.804880mm,Top,180.0,68.279360mm,9.804880mm
D2,68.229360mm,12.304880mm,Top,180.0,68.229360mm,12.304880mm
D3,123.829152mm,55.785509mm,Top,-90.0,123.829152mm,55.785509mm
D4,121.829152mm,55.785509mm,Top,-90.0,121.829152mm,55.785509mm
D5,29.410960mm,119.000000mm,Top,-90.0,29.410960mm,119.000000mm
D6,72.310209mm,84.050750mm,Top,90.0,72.310209mm,84.050750mm
D7,69.010209mm,84.050750mm,Top,90.0,69.010209mm,84.050750mm
D8,67.110209mm,84.050750mm,Top,90.0,67.110209mm,84.050750mm
D9,63.810209mm,84.050750mm,Top,90.0,63.810209mm,84.050750mm
D10,27.600700mm,118.900001mm,Top,90.0,27.600700mm,118.900001mm
D11,31.310960mm,119.000000mm,Top,90.0,31.310960mm,119.000000mm
D12,73.997706mm,83.949251mm,Top,-90.0,73.997706mm,83.949251mm
D13,70.697706mm,83.949251mm,Top,-90.0,70.697706mm,83.949251mm
D14,65.510209mm,83.950750mm,Top,-90.0,65.510209mm,83.950750mm
D15,62.210209mm,83.950750mm,Top,-90.0,62.210209mm,83.950750mm
D16,45.549998mm,97.007060mm,Top,90.0,45.549998mm,97.007060mm
D17,42.300000mm,97.000000mm,Top,90.0,42.300000mm,97.000000mm
D18,40.400000mm,97.000000mm,Top,90.0,40.400000mm,97.000000mm
D19,37.100000mm,97.000000mm,Top,90.0,37.100000mm,97.000000mm
D20,47.200000mm,96.905561mm,Top,-90.0,47.200000mm,96.905561mm
D21,44.000000mm,96.900000mm,Top,-90.0,44.000000mm,96.900000mm
D22,38.787497mm,96.898501mm,Top,-90.0,38.787497mm,96.898501mm
D23,35.500000mm,96.900000mm,Top,-90.0,35.500000mm,96.900000mm
D24,81.511360mm,73.200880mm,Top,0.0,81.511360mm,73.200880mm
D25,45.712503mm,13.001498mm,Top,90.0,45.712503mm,13.001498mm
D26,98.000700mm,109.607060mm,Top,180.0,98.000700mm,109.607060mm
D27,98.000700mm,107.707060mm,Top,180.0,98.000700mm,107.707060mm
D29,98.100700mm,111.307060mm,Top,0.0,98.100700mm,111.307060mm
D30,98.100700mm,106.094557mm,Top,0.0,98.100700mm,106.094557mm
G1,141.500700mm,135.407060mm,Top,90.0,141.500700mm,135.407060mm
G2,145.610960mm,113.982000mm,Top,90.0,145.610960mm,113.982000mm
G3,141.400700mm,121.007060mm,Top,90.0,141.400700mm,121.007060mm
G4,20.320000mm,55.880000mm,Top,90.0,20.320000mm,55.880000mm
G5,5.080000mm,33.020000mm,Top,90.0,5.080000mm,33.020000mm
G6,5.080000mm,55.880000mm,Top,90.0,5.080000mm,55.880000mm
G7,20.320000mm,33.020000mm,Top,90.0,20.320000mm,33.020000mm
J1,86.325000mm,109.500000mm,Top,90.0,86.325000mm,109.500000mm
J2,86.200700mm,118.707060mm,Top,0.0,86.200700mm,118.707060mm
J3,76.679360mm,7.204880mm,Top,90.0,76.679360mm,7.204880mm
J4,122.922360mm,14.783880mm,Top,-90.0,122.922360mm,14.783880mm
J5,124.029360mm,46.704880mm,Top,-90.0,124.029360mm,46.704880mm
J6,110.811360mm,89.740880mm,Top,-90.0,110.811360mm,89.740880mm
J7,30.477360mm,82.238880mm,Top,90.0,30.477360mm,82.238880mm
J8,86.511360mm,87.200880mm,Top,90.0,86.511360mm,87.200880mm
J9,69.029360mm,68.204880mm,Top,180.0,69.029360mm,68.204880mm
J10,50.252360mm,84.513880mm,Top,-90.0,50.252360mm,84.513880mm
J23,92.600000mm,133.500000mm,Top,0.0,92.600000mm,133.500000mm
J25,134.600000mm,76.800000mm,Top,0.0,134.600000mm,76.800000mm
J26,145.570000mm,66.500000mm,Top,180.0,145.570000mm,66.500000mm
M1,116.035960mm,81.379681mm,Top,180.0,116.035960mm,81.379681mm
M2,125.999471mm,39.516735mm,Top,180.0,125.999471mm,39.516735mm
M3,116.166861mm,64.258503mm,Top,180.0,116.166861mm,64.258503mm
M4,72.141861mm,10.014693mm,Top,0.0,72.141861mm,10.014693mm
M5,57.814860mm,78.451380mm,Top,180.0,57.814860mm,78.451380mm
M6,111.091858mm,25.623217mm,Top,180.0,111.091858mm,25.623217mm
M7,57.427357mm,15.988885mm,Top,90.0,57.427357mm,15.988885mm
M8,58.182363mm,110.369559mm,Top,-90.0,58.182363mm,110.369559mm
M9,107.509785mm,95.713404mm,Top,180.0,107.509785mm,95.713404mm
M10,30.201711mm,120.928865mm,Top,90.0,30.201711mm,120.928865mm
M11,21.923460mm,77.587499mm,Top,90.0,21.923460mm,77.587499mm
M12,81.625700mm,99.057060mm,Top,90.0,81.625700mm,99.057060mm
P1,109.499364mm,94.600000mm,Top,180.0,109.499364mm,94.600000mm
P2,142.778240mm,143.373780mm,Top,0.0,142.778240mm,143.373780mm
P22,65.210960mm,41.704880mm,Top,180.0,65.210960mm,41.704880mm
P23,62.400700mm,41.704880mm,Top,180.0,62.400700mm,41.704880mm
P24,65.210960mm,49.204880mm,Top,180.0,65.210960mm,49.204880mm
P25,62.400700mm,49.207060mm,Top,180.0,62.400700mm,49.207060mm
P26,79.200700mm,82.200880mm,Top,180.0,79.200700mm,82.200880mm
P27,82.011360mm,85.007060mm,Top,180.0,82.011360mm,85.007060mm
P28,82.011360mm,82.200880mm,Top,180.0,82.011360mm,82.200880mm
P46,64.810960mm,128.300000mm,Top,0.0,64.810960mm,128.300000mm
P47,59.310960mm,134.800000mm,Top,0.0,59.310960mm,134.800000mm
P48,61.310960mm,128.300000mm,Top,0.0,61.310960mm,128.300000mm
P49,53.310960mm,134.800000mm,Top,0.0,53.310960mm,134.800000mm
P50,54.060960mm,129.800880mm,Top,0.0,54.060960mm,129.800880mm
P51,45.810960mm,128.300000mm,Top,0.0,45.810960mm,128.300000mm
P52,129.410960mm,134.795000mm,Top,0.0,129.410960mm,134.795000mm
P53,119.910960mm,134.795000mm,Top,0.0,119.910960mm,134.795000mm
P54,110.910960mm,134.795000mm,Top,0.0,110.910960mm,134.795000mm
P55,107.710560mm,134.794120mm,Top,0.0,107.710560mm,134.794120mm
P56,104.510960mm,134.795000mm,Top,0.0,104.510960mm,134.795000mm
R1,122.829152mm,59.785509mm,Top,180.0,122.829152mm,59.785509mm
R2,73.129360mm,11.079880mm,Top,90.0,73.129360mm,11.079880mm
R3,88.700700mm,83.807060mm,Top,0.0,88.700700mm,83.807060mm
R4,118.400700mm,123.707060mm,Top,-90.0,118.400700mm,123.707060mm
R5,29.310960mm,115.000000mm,Top,0.0,29.310960mm,115.000000mm
R6,68.110209mm,88.050750mm,Top,180.0,68.110209mm,88.050750mm
R7,41.400000mm,101.000000mm,Top,180.0,41.400000mm,101.000000mm
R8,81.736360mm,77.200880mm,Top,0.0,81.736360mm,77.200880mm
R9,81.511360mm,69.300880mm,Top,0.0,81.511360mm,69.300880mm
R10,113.410960mm,124.344979mm,Top,90.0,113.410960mm,124.344979mm
R11,115.410960mm,121.890000mm,Top,-90.0,115.410960mm,121.890000mm
R12,127.410960mm,128.295000mm,Top,90.0,127.410960mm,128.295000mm
R14,101.800700mm,109.707060mm,Top,180.0,101.800700mm,109.707060mm
R15,101.800700mm,107.807060mm,Top,180.0,101.800700mm,107.807060mm
R16,93.700700mm,108.707060mm,Top,270.0,93.700700mm,108.707060mm
R17,125.910960mm,134.795000mm,Top,90.0,125.910960mm,134.795000mm
R18,121.400000mm,124.449979mm,Top,90.0,121.400000mm,124.449979mm
R19,56.400700mm,128.307060mm,Top,90.0,56.400700mm,128.307060mm
R20,54.011360mm,124.530880mm,Top,90.0,54.011360mm,124.530880mm
R21,109.410960mm,118.250001mm,Top,90.0,109.410960mm,118.250001mm
R22,114.610960mm,118.095000mm,Top,0.0,114.610960mm,118.095000mm
R23,53.311360mm,120.800880mm,Top,0.0,53.311360mm,120.800880mm
R24,107.410960mm,124.245001mm,Top,90.0,107.410960mm,124.245001mm
R25,132.910960mm,134.800000mm,Top,90.0,132.910960mm,134.800000mm
R26,134.410960mm,128.295000mm,Top,90.0,134.410960mm,128.295000mm
R27,109.410960mm,122.495000mm,Top,-90.0,109.410960mm,122.495000mm
R28,62.310960mm,134.800000mm,Top,90.0,62.310960mm,134.800000mm
R29,56.310960mm,134.800000mm,Top,90.0,56.310960mm,134.800000mm
R30,58.310960mm,128.300000mm,Top,90.0,58.310960mm,128.300000mm
R31,50.310960mm,134.800000mm,Top,90.0,50.310960mm,134.800000mm
R32,51.700700mm,128.300000mm,Top,90.0,51.700700mm,128.300000mm
R33,47.310960mm,134.800000mm,Top,90.0,47.310960mm,134.800000mm
R34,48.810960mm,128.300000mm,Top,90.0,48.810960mm,128.300000mm
R35,44.310960mm,134.800000mm,Top,90.0,44.310960mm,134.800000mm
R36,41.310960mm,134.800000mm,Top,90.0,41.310960mm,134.800000mm
R37,42.810960mm,128.300000mm,Top,90.0,42.810960mm,128.300000mm
R38,38.310960mm,134.800000mm,Top,90.0,38.310960mm,134.800000mm
R39,39.810960mm,128.300000mm,Top,90.0,39.810960mm,128.300000mm
R40,35.310960mm,134.800000mm,Top,90.0,35.310960mm,134.800000mm
R41,36.810960mm,128.300000mm,Top,90.0,36.810960mm,128.300000mm
R42,32.810960mm,128.300000mm,Top,90.0,32.810960mm,128.300000mm
R43,122.910960mm,134.795000mm,Top,90.0,122.910960mm,134.795000mm
R44,124.410960mm,128.295000mm,Top,90.0,124.410960mm,128.295000mm
R45,118.410960mm,128.295000mm,Top,90.0,118.410960mm,128.295000mm
R46,113.910960mm,134.795000mm,Top,90.0,113.910960mm,134.795000mm
R47,115.410960mm,128.295000mm,Top,90.0,115.410960mm,128.295000mm
R48,109.410960mm,128.295000mm,Top,90.0,109.410960mm,128.295000mm
R49,101.910960mm,134.844099mm,Top,90.0,101.910960mm,134.844099mm
S1,67.029360mm,17.204880mm,Top,-90.0,67.029360mm,17.204880mm
S2,71.029360mm,17.204880mm,Top,-90.0,71.029360mm,17.204880mm
U1,64.529360mm,32.704880mm,Top,180.0,64.529360mm,32.704880mm
U2,144.510000mm,46.655000mm,Top,-90.0,144.510000mm,46.655000mm
U3,126.500000mm,87.800000mm,Top,180.0,126.500000mm,87.800000mm
